음식점,위치(도로명),음식분류,술집,음식종류(사용 X),포장/배달전문,국물유무,URL
밀알식당,서울 동작구 사당로 18-1 1층,한식,,덮밥,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_224%2F1587189698720Uipwq_JPEG%2FRVUW6EGFn1LThMoFCfnLDo60.jpg
미쳐버린파닭 숭실대점,서울 동작구 사당로 56,치킨,2,치킨,,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA3MzBfMjcg%2FMDAxNjU5MTY4MDY3ODU2.7yyMxM3pFsvQshKFox8XMcW-Urg0qHMt4XSCVbjBwo8g.OYH2j_5KkhcICkBkHqmDtoUpugVbCXjfch2jpb-1lOQg.JPEG%2Fupload_eb36583a9fb13d64c982b0c60973ba37.jpeg%3Ftype%3Dw1500_60_sharpen
요리비멘동,서울 동작구 상도로61길 32,일식,,"덮밥, 라멘",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA2MTdfMjMx%2FMDAxNjU1NDU0MTE3Nzkz.TdAXNhjWjllhYEF2TwWbp-lzf80gjwnjOpLg9zHT1A8g._uUmuuKw2r16I_8J_wX_JZnTIS8HR2kwolXKLsji1_Ag.JPEG%2Fupload_ec8283f2da933c62584d506dfe1a8f89.jpeg%3Ftype%3Dw1500_60_sharpen
맥도날드 숭실대점,서울 동작구 사당로 22 창주빌딩 1층,패스트푸드,0,햄버거,,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240331_150%2F1711857345259fef1M_JPEG%2F1000008566.jpg
리얼후라이 숭실대점,서울 동작구 사당로 6-1 1층,치킨,"1,2",치킨,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDEwMThfMTky%2FMDAxNzI5MjAzNDczMDI2.Zch1LcXS2-z5LJW53IMChoVtRdc2ljFLGJt4TvwqjlMg.RrQvYLOyiFKfdGLHVADgq2iwzRtvblvbEwhPf33Hj9gg.JPEG%2F1000050540.jpg.jpg%3Ftype%3Dw1500_60_sharpen
뚝배기스파게티,서울 동작구 사당로 42 1층 B104호,양식,0,파스타,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzEyMjNfMTE4%2FMDAxNzAzMzI5MDIwMzc4.aSiREp7ZJy2RFo2n_DV9XMWu5VSofdSEpMZU4HxJ3Vkg.Dk7yFDtVn9Q-H5emBFZepcRzcqYtHYSuq5iavZCFEg4g.JPEG.suntime85%2FKakaoTalk_20231217_000222687_08.jpg
따뜻한밥상 숭실대점,서울 동작구 상도로62길 37 2층,한식,,김치찌개,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230601_223%2F1685574685001nNcbd_JPEG%2FKakaoTalk_20230531_114946603_06.jpg
더진국 숭실대점,서울 동작구 상도로61길 38 1층,한식,2,"수육국밥, 순댓국",,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAxMjJfMTQx%2FMDAxNTc5Njg2MjE5NDg4.L9GgLhIV_KxTbXP0o1wXDpYuTCJpzBfIugtLLf8dhnkg.FCiiK1Baxi-ahKCaxoy5r_9bG_EIl4esQcx6iu5w7nEg.JPEG.mooncrystar%2F1579686219633.jpg
논두렁갈비,서울 동작구 상도로61길 40 정우빌딩 2층,한식,,갈비,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_61%2F1441008842794fnddF_JPEG%2F12057210_0.jpg
내가찜한닭 숭실대점,서울 동작구 사당로 18-1 2층,한식,,찜닭,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241001_179%2F1727760576243YOHPp_JPEG%2FIMG_5828.jpeg
명품고향삼계탕,서울 동작구 상도로61길 34 1층,한식,,"삼계탕, 순댓국",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171024_145%2F1508821792743s1IB1_JPEG%2FerY1F4FbpfwReo8WozaAraOu.jpg
고추동제면소,서울 동작구 상도로 399 1층,일식,0,"즉석떡볶이, 냉우동",,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDExMjRfMjQy%2FMDAxNzMyNDIzNjAzMTky.26WEby33oQmuBcC1vcmVyG08W6Lbdf6UxBfdzHzRy6gg.tHXD7nyeoxMjkzFCZC688d6ZKy2bMDeDfIESg8S2SA4g.JPEG%2F1000006991.jpg.jpg%3Ftype%3Dw1500_60_sharpen
고기스토리 숭실대점,서울 동작구 상도로61길 21 1층,한식,"1,2",삼겹살,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNTAyMjhfMTAg%2FMDAxNzQwNzQwMTc0Njg2.04cD0VM9Xh2iuoivY9579zMDIDWz4TVnzH10coXijPMg.nxZQyrDuV5H4uHec7CIH5zT4_qcgXk_itNx58-9_anog.JPEG%2F1000017474.jpg.jpg%3Ftype%3Dw1500_60_sharpen
고기마을찌개나라,서울 동작구 상도로61길 26,한식,0,"삼겹살, 닭볶음탕",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA2MTRfMzAw%2FMDAxNjg2NzE3NTIyNjk2.XyObHW0mulfFSBJHRIGhgHlGtBYgFxCmtXEQJ5STaXgg.yn9Ia6Htw0GL6HczqTfuO3GI6Bd4JWKc-Fn83zCjEA8g.JPEG%2F6470EB6D-2E7D-42D3-8776-975E5148CD1D.jpeg%3Ftype%3Dw1500_60_sharpen
